,Tweet,Sentiment
1281,"Fed up with ableist nonsense about vaccination - illness is not weakness - please get vaccinated to protect others, especially those who need our hospital system #vaccination #COVID19Aus",Pos
32093,@ketaminh The right answer depends on if you are making decisions related to risks and benefits related to self vs community and your own attitudes to risk \nRisk for a young person for prevention (vaccine) is likely &gt; than the risk they are mitigating (COVID),Neg
11333,@fundaygunday @WhiteboardKatie @jimmy_dore Wage replacements by the government so people can isolate until everyone who wants the vaccine can get it.,Pos
32953,SloMo finally making vaccines mandatory for aged-care workers. Should have happened as soon as the vaccine was available.,Pos
3918,@abcnews Double vax passports until 85 to 90% vaccination. Then reopen to normal levels.,Pos
9993,"You are missing something. The PM can't stand up &; yell at us to get vaccinated because there's a shit tonne of AZ available, then divert a chunk of Pfizer into Sydney.\nIf the best shot is the one that's available, why not use all this supposed AZ that's plentiful? https://t.co/suDWOvVJGM",Neg
984,"@DrSaripanidis @digby1 @3DiMMUNE When I go out, I'm not afraid of catching measles, diphtheria or polio because I am vaccinated for them and I know the vaccine works. So why are the Covid 19 vaccinated so afraid of the unvaccinated? It's because even after 3 shots it doesn't work, wake up people.",Neg
1346,WHO warns COVID-19 pandemic will drag on into 2022. \n(We expected that!)\nCare to be exercised as people are vaxxed! (+ booster vax)\nhttps://t.co/KJCpGXGEAO,Pos
1785,"@SteveKinlan This is a big pharmaceutical strategy, big Pharmaceutical is feeding a very frightened global vaccine drug addiction with drugs that have short life expectancies. Like the government they prioritising the economy",Neg
636,"@CClancy43644154 @joegarra61 You totally missed the point using a risk based approach you are not looking at individuals but at the process, the vaccine mandate is a blunt instrument which does nothing to reduce the risk but applies a punitive penalty to perfectly healthy people.",Neg
30947,Venus and Kygrios playing mixed doubles to a packed outside court at Wimbledon - is there a more glorious sight - utopia or a glimpse into a post vax society? Please get vaccinated if you can and are eligible -  have not been home in over 2 years now ðŸ˜©,Pos
31193,Pass the ðŸ¤® bucket @ScottMorrisonMP we are not prisoners of our own success we are prisoners due to your lack of planning a vaccine roll out BEFORE WINTER! FFS #AuspolSoCorrupt https://t.co/CdwdioRGzF,Neg
8083,"@MaeveTerra @Schwulemiker @gracie4000 Tell you do. Every single authority out there is saying the vaccine protects you from serious illness - and you think you can eradicate an airborne respiratory pathway targeting virus, that has mammalian sources, by herd immunity. So protect yourself",Pos
5608,@LucyTreloar @SkyNewsAust As a nurse in Aged Care vaccination is mandated for good reason. I just don't get the hesitancy when it's just about doing what we must to keep everyone safe!,Pos
58845,@manxozee There is no vaccine for covid19. Everyone is susceptible,Neg
31508,The governments failure to buy more vaccines was a monumental management failure. Not enough Pfizer &; no Moderna? WTF.\nG ðŸ¦‹â˜¯ï¸,Neg
31794,"@stephenjduckett @whereisdaz We don't know that at the moment, it depends on the possibility of a delta variant outbreak. As numbers of cases rise, the benefit of vaccination increases. See the situation in UK currently",Pos
